CarModel,Year,Engine,Fuel,Price,Milage
BMW X3,2013,1 995 cm3,Diesel,15 999                    EUR,168 000 km
BMW Seria 6 640,2014,2 995 cm3,Diesel,30 500                    EUR,193 500 km
BMW Seria 1 118,2007,1 800 cm3,Diesel,5 300                    EUR,187 000 km
BMW Seria 3 318,2014,1 995 cm3,Diesel,14 280                    EUR,129 400 km
BMW Seria 3,2016,1 995 cm3,Diesel,13 490                    EUR,121 535 km
BMW Seria 3 320,2012,1 995 cm3,Diesel,15 950                    EUR,179 859 km
BMW Seria 5 530GT,2011,3 000 cm3,Diesel,14 500                    EUR,236 000 km
BMW Seria 5,2016,1 995 cm3,Diesel,26 000                    EUR,72 000 km
BMW Seria 5 525,2014,1 968 cm3,Diesel,27 251                    EUR,59 805 km
BMW Seria 1 118,2010,1 968 cm3,Diesel,5 200                    EUR,241 000 km
BMW Seria 7 730,2014,2 993 cm3,Diesel,29 900                    EUR,76 000 km
BMW Seria 5 520,2016,2 000 cm3,Diesel,17 990                    EUR,180 000 km
BMW Seria 5 530,2006,3 000 cm3,Diesel,4 999                    EUR,224 000 km
BMW X5,2015,2 993 cm3,Diesel,35 500                    EUR,149 000 km
BMW Seria 7 730,2013,2 993 cm3,Diesel,20 990                    EUR,191 000 km
BMW Seria 5 530GT,2010,2 996 cm3,Diesel,12 499                    EUR,250 000 km
BMW X5,2016,2 993 cm3,Diesel,39 151                    EUR,207 288 km
BMW Seria 5 5GT,2010,2 993 cm3,Diesel,12 980                    EUR,198 000 km
BMW Seria 6 640,2017,2 993 cm3,Benzina,59 488                    EUR,18 702 km
BMW Seria 5 520,2016,1 995 cm3,Diesel,24 383                    EUR,108 877 km
BMW Seria 5 525,2014,2 000 cm3,Diesel,17 790                    EUR,198 600 km
BMW X3,2011,1 995 cm3,Diesel,15 980                    EUR,183 000 km
